Property_Name,Location,Property_Type,Room_Type,Price,Rating,Reviews,Free_Cancellation,Price_for_night
Asta by Avim,Goa,Entire studio,Studio with Pool View,9998,8.5,34,No,2
"Aqua Beach Stays, Ashwem",Mandrem,Entire studio,Studio with Sea View,23400,7.2,117,No,2
"Modern 1BHK by Kastra Homes, Siolim",Cunchelim,Entire apartment,One-Bedroom Apartment with Pool View,8730,9.0,1,Yes,2
Luxury 4BHK Villa with Private Swimming Pool Near Calangute and Baga,Nagoa-Bardez,Entire villa,Villa,24898,8.3,0,Yes,2
Eternal wave by HappyInch,Calangute,Entire apartment,Apartment with Garden View,8000,8.1,319,No,2
Oxygen Palolem,Palolem,Entire villa,Two-Bedroom Villa,40500,8.0,571,No,2
"Fig House Anjuna-Chapora Road , Siolim 1BHK Suite",Oxel,Entire apartment,One-Bedroom Apartment,7020,7.8,32,Yes,2
Serendipity House Goa,Nerul,Private suite,Junior Suite,14000,9.4,50,No,2
EKOSTAY - Casa Beleza,Verem,Entire villa,Villa with Private Pool,47520,10.0,1,Yes,2
HOLIDAY LUXURY APARTMENT,Arpora,Entire apartment,One-Bedroom Apartment,9900,7.2,36,Yes,2
"Axiom Resorts Luxury Cottages, Arambol",Arambol,Entire villa,Two-Bedroom Villa,31000,8.6,20,Yes,2
EKOSTAY Gold - Oasis Villa,Saligao,Entire villa,Villa with Private Pool,29700,7.4,5,Yes,2
Leon Hide Out Guest House,Vasco Da Gama,Entire studio,Deluxe Studio,5000,8.1,375,Yes,2
THHPSOCIETY - Kahaani boutique Villas & Stays - Vagator Goa,Anjuna,Entire villa,One-Bedroom Villa,4631,8.0,14,Yes,2
Perfectstayz Premium Goa Continental Baga,Arpora,Entire apartment,Two-Bedroom Family Apartment,19800,7.7,79,Yes,2
The Project Cafe and Hotel,Aldona,Entire villa,Two-Bedroom Villa,22500,8.2,4,Yes,2
"Greek ""Jungle Villa"", with private Waterfall and Pool",Siolim,Entire villa,Three-Bedroom Villa,28500,8.5,8,Yes,2
Amorzito by Solitaire Stays,Dona Paula,Entire villa,Villa,97200,9.0,3,Yes,2
Nature's Palm Vista Villa,Talaulim,Entire villa,Three-Bedroom Villa,10000,8.3,9,Yes,2
4BHK Private Pool villa in North Goa with Kayaking nearby!!,Moira,Entire villa,Villa with Private Pool,30000,9.7,10,Yes,2
Down Da Village Resort Goa,Candolim,Entire villa,Two-Bedroom Villa,4500,3.9,22,Yes,2
"Beach Touch 4 Bedroom Modern Villa with Plunge pool by ""Dreme 100 BnB""",Morjim,Entire holiday home,Four-Bedroom Holiday Home,12000,5.8,15,Yes,2
"The Tanisi Resorts & Pool Villas, Candolim",Candolim,Entire villa,Rainflower Premium 4 Bedroom Villa With Infinity Pool and Jaccuzi,169000,8.9,7,Yes,2
ELIVAAS 3 BHK Pvt Pool & Bar - Villa Valerie,Oxel,Entire villa,Three-Bedroom Villa,33642,10.0,3,Yes,2
Apartments and Studio and Villas in GOA,Calangute,Entire apartment,One-Bedroom Apartment with View,12738,4.8,16,Yes,2
The Grace Guest House,Salcete,Entire villa,Two-Bedroom Villa,5000,8.8,25,Yes,2
Luxury 2BHK Apartment Near Candolim,Nerul,Entire apartment,Two-Bedroom Apartment,11400,8.7,21,Yes,2
"La Cabana Beach & Spa, By Ashvem Beach",Mandrem,Entire villa,Garden View Villa with Jacuzzi,30000,8.0,87,Yes,2
Coastal Suites Apart Hotel ---- 10 minutes walk to beach,Benaulim,Entire studio,Studio with balcony village view,7030,8.9,92,Yes,2
Dwell Apartment,Poinguinim,Entire apartment,One-Bedroom Apartment,5198,8.3,0,Yes,2
Westwood Residence Goa - The Boutique Hotel,Mapusa,Entire apartment,One-Bedroom Apartment,8262,8.4,41,No,2
"The Hosteller Goa, Anjuna",Arpora,Entire villa,Premium 3 Bedroom Villa,30600,8.8,89,Yes,2
"Trideus Tranquil riverside resort -Saipem, Candolim",Candolim,Entire villa,Villa with Garden View,7434,7.3,79,Yes,2
"SaffronStays Sweet Mango - 4BR Goan villa with private pool, mango garden, bar gazebo & vibrant interiors near beaches",Parra,Entire villa,Villa,83520,10.0,3,Yes,2
Crystal Village,Nagoa-Bardez,Entire apartment,Luxury Room with Balcony,16662,9.0,3,Yes,2
Dreamcatcher House & Hostel at Arambol Beach,Arambol,Entire studio,Studio with Balcony,5415,9.3,233,Yes,2
"Stone Wood Riverfront Resort, Siolim",Siolim,Entire villa,Four-Bedroom Villa,29880,6.7,27,No,2
Kitu & Kim Apartments,Calangute,Entire apartment,Two-Bedroom Apartment,1439,6.2,23,No,2
Sterling Goa Varca,Varca,Private suite,Privilege Suite with Balcony,11920,7.2,105,Yes,2
"La Masillia, 2 BHK with Private Pool, 15 mins from Morjim Beach, Wifi, Peaceful location, Kitchen, Security, Patio",Siolim,Entire villa,La Masillia 03|Balcony|Garden|Wifi|Cook Avl,34328,9.3,3,Yes,2
"La Avila, 2 BHK Villas near Morjim Beach with Private Pool, Kitchen, Balcony &Security",Siolim,Entire villa,La Avila 03|Garden|Kitchen|Wifi|Cook Avl,25204,8.0,7,Yes,2
Cactus Guesthouse,Arambol,Entire studio,Studio,3000,8.8,177,Yes,2
Mitra Homes Mandrem,Mandrem,Entire studio,Studio with Balcony,4832,9.3,96,Yes,2
Seashell Suites and Villas - Candolim Goa,Candolim,Entire villa,Two-Bedroom Villa with Garden View,48360,9.7,529,No,2
"Studio and One bedroom Apartment in Riviera Sapphire, Siolim",Siolim,Entire apartment,Apartment - Ground Floor,4000,9.4,8,Yes,2
Anjuna Hideout,Anjuna,Entire villa,Villa with Garden View,9180,8.9,300,Yes,2
Luxury 3BHK Villa with Private Swimming Pool near Candolim,Marmagao,Entire villa,Three-Bedroom Villa,23038,8.2,11,Yes,2
"La Branca, Luxurious 4 BHK villas near Peaceful Morjim Beach, with Private Pool, Big Garden, Security, Kitchen, Wifi, Terrace",Siolim,Entire villa,La Branca 03 |Caretaker | Full Generator Backup| Cook Avl,71640,10.0,5,Yes,2
Casa De Goa - Boutique Resort - Calangute,Calangute,Entire villa,Villa - Couple only (No Stag & Children allowed),16000,8.1,234,No,2
Goa Beach Villa,Agonda,Entire villa,Villa with Garden View,17280,9.5,25,Yes,2
Casa Euphoria Apartments,Calangute,Entire apartment,Two-Bedroom Apartment,5400,6.8,146,Yes,2
"El Reino 2&3BHK Apartments, 5 Mins to Casino & 10 Mins to Candolim, with Pool & Kitchen, Wifi, Security",Verem,Entire apartment,ElReino-New Designer 2bhk Apartment near Candolim,13648,8.9,20,Yes,2
Siolim Suites,Siolim,Entire apartment,One-Bedroom Apartment,9720,9.4,126,No,2
Villa near Vagator Beach,Bardez,Entire villa,Two-Bedroom Villa,13066,8.3,0,Yes,2
Luxury Aveeno Resort Near Calangute and Baga,Sangolda,Entire villa,Two-Bedroom Villa,8261,4.3,9,No,2
"Richmonde Ananta Elite Luxurious Villa & Apartments,Goa",Baga,Entire villa,Three bedroom deluxe villa,22358,7.8,54,No,2
Nanu Beach Resort & Spa,Betalbatim,Entire villa,Superior Villa,20997,7.1,135,Yes,2
Studio Apartment by Leela Homes,Arpora,Entire apartment,Studio Apartment,5600,7.4,40,Yes,2
Passions de Goa,Anjuna,Private suite,Family Suite,9630,7.9,64,Yes,2
"Villa Barbosa, 2 BHK Villa & Luxury Rooms near Colva, Sernabatim, Benaulim Beach",Colva,Entire villa,Two-Bedroom Villa,8802,8.0,175,No,2
"La Risa, 2 BHK Villas near Vagator Beach, Private Pool with Kitchen, Balcony, Security",Vagator,Entire villa,La Risa 09|Patio|Wifi|Cook Avl,51343,9.7,10,Yes,2
ShivSangit 2bhk Flat Homestay,Ponda,Entire apartment,Two-Bedroom Deluxe Apartment with Balcony,6960,10.0,1,Yes,2
lovely 2-bedroom sea view serviced apartment dabolim goa,Dabolim,Entire apartment,Two-Bedroom Apartment,12000,10.0,9,Yes,2
Jolene's Mandrem,Mandrem,Entire apartment,Deluxe Apartment,5580,9.1,30,Yes,2
"Villa Laz, Parra close to calangute- Pool,Jacuzzi,Cook",Parra,Entire villa,Villa with Private Pool,34560,8.3,0,Yes,2
EKO STAY - Solace Villa I Charming Villa close to Candolim Beach,Candolim,Entire villa,Three-Bedroom Villa,23760,7.0,8,Yes,2
360 Agonda,Agonda,Entire studio,Studio with Garden View,6000,10.0,1,Yes,2
Studio Apt with Rooftop Panoramic views @ Dabolim,Vasco Da Gama,Entire studio,Studio,3600,8.9,33,No,2
Areia De Goa - Sunset By Leela Homes,Arpora,Entire apartment,Two-Bedroom Apartment,9000,6.0,11,Yes,2
Jack & Rose Stays,Orlim,Entire apartment,Two-Room Apartment,6998,6.5,4,Yes,2
Barbados Tropical Studio by SiyaU,Corgao,Entire apartment,One-Bedroom Apartment,7410,10.0,1,No,2
Bellagio Rezidencia 1 BHK Service Apartments,Calangute,Entire apartment,One-Bedroom Apartment,8700,8.2,6,Yes,2
Calvin's 3 BDR Villa,Benaulim,Entire villa,Three-Bedroom Villa,19998,7.8,17,Yes,2
Lush View 2BHK Apartments in Candolim,Candolim,Entire apartment,Two-Bedroom Apartment with Mountain View,11480,9.8,13,Yes,2
"La Morena, Newly Constructed Luxurious 4 BHK villas in Assagao, Private Pool, Balcony, Kitchen, Patio, Security",Assagao,Entire villa,La Morena - 02|Caretaker | Full Generator Backup| Cook Avl,109849,10.0,3,Yes,2
"Heritage Exotica Villa - 4BHK, Baga",Baga,Entire villa,Superior Villa,26255,7.7,29,No,2
"SaffronStays Amarah Pet-friendly Luxury Villa-Assagao, North Goa",Assagao,Entire villa,Villa,121824,10.0,3,Yes,2
"Panjikars Stay - Corjuem island village, Aldona, North Goa",Aldona,Entire apartment,Two-Bedroom Apartment,2592,8.0,1,No,2
RED HOUSE - AGONDA BEACH,Agonda,Entire apartment,One-Bedroom Apartment,5000,9.5,35,Yes,2
Ekostay Gold- Salt Water Villa I Sea View I 200 meters from Beach,Candolim,Entire villa,Villa with Private Pool,47520,7.0,3,Yes,2
'Golden Sand Dunes' 1bhk Benaulim beach apartment,Benaulim,Entire apartment,One-Bedroom Apartment,7524,9.0,27,No,2
St.Jacinto Island VillaPrivate PoolBayView3BHK,Dabolim,Entire apartment,Three-Bedroom Apartment,29322,5.9,13,Yes,2
EKOSTAY - Bliss Apartment,Candolim,Entire apartment,Apartment with Garden View,8910,7.3,14,Yes,2
River view apartments,Cavelossim,Entire apartment,Apartment with Lake View,8560,8.2,16,Yes,2
Wildflower Goa,Candolim,Entire villa,One-Bedroom Villa,100000,9.7,11,Yes,2
EKO STAY - GREEN DOOR Apartment,Candolim,Entire apartment,Two-Bedroom Apartment,8910,7.5,19,Yes,2
"Sort By Stays , Siolim",Siolim,Entire studio,King Studio with Sofa Bed,7920,8.8,42,Yes,2
El Rosario 2BHK Apartments-Near Candolim-Common pool-Wifi-24 hour Security & 5 mins Drive to Casino,Verem,Entire apartment,VianaarEscapes-ElRosario-New 2bhk Apt - Pvt Garden,13882,8.3,0,Yes,2
1 BHK Near Varca Beach,Varca,Entire apartment,One-Bedroom Apartment,5000,8.8,26,Yes,2
EKOSTAY - Utopian Villa with Jacuzzi,Candolim,Entire villa,Villa with private Jacuzzi,17595,7.0,3,Yes,2
Orange Villa,Morjim,Entire studio,Studio with Balcony,4050,9.0,145,Yes,2
Villa By The Beach Goa,Benaulim,Entire apartment,Apartment - Ground Floor,11038,7.8,90,No,2
Reev's Homestay: Luxury 2 Bedroom apartment,Arossim-Cansaulim,Entire apartment,Two-Bedroom Apartment,6154,9.6,11,No,2
Jolene's Ashvem,Mandrem,Entire apartment,Studio Apartment,5000,8.2,56,Yes,2
Luxury 3BHK Villa by BlueWave Hospitality,Candolim,Entire villa,Three-Bedroom Villa,23400,9.7,16,Yes,2
Baga Hol!days Beach Home Stay,Baga,Entire villa,Deluxe Villa,3000,7.6,14,Yes,2
Vista Vagator Junction by Dia Hotels and Homes,Anjuna,Entire apartment,One-Bedroom Apartment,5902,9.3,3,Yes,2
ComfyCorner - Luxurious 2-BHK Apartment,Arpora,Entire apartment,Two-Bedroom Apartment,9000,9.4,11,Yes,2
Godwill Kimo Guest house Seraulim,Madgaon,Entire studio,Deluxe Double Studio,2700,7.1,246,Yes,2
Good Stay Pool view Premium Studio Apartment 206,Dabolim,Entire apartment,Apartment with Balcony,6650,9.1,62,Yes,2
"Riviera 01, Siolim- 3BHK Villa With Pool View",Siolim,Entire villa,Three-Bedroom Villa,13851,10.0,4,Yes,2
Villa Donna,Dona Paula,Entire studio,King Studio,9600,8.0,84,Yes,2
CASA VASU VILLA private Pool Jacuzzi Caretaker,Pilerne,Entire villa,Three-Bedroom Villa,44998,9.0,1,Yes,2
"LaRiSa Resort, Morjim",Morjim,Entire villa,Two-Bedroom Villa,32298,6.9,116,Yes,2
Rivers Edge Retreat 2BHK Bliss Morjim Beach,Agarvado,Entire apartment,Two-Bedroom Apartment,5998,8.3,0,Yes,2
"White Feather & NAMAKA, Morjim and Ashwem Beach 7 min walk",Morjim,Entire apartment,Apartment with View and Balcony,5980,7.8,102,No,2
Deep Guest House,Arambol,Entire apartment,One-Bedroom Apartment,4262,9.6,28,Yes,2
Good shepherd & Sabs Apartments And rooms,Colva,Entire apartment,Deluxe One-Bedroom Apartment,4000,5.5,18,Yes,2
D7 La Serene,Benaulim,Entire villa,Deluxe Villa,11300,8.5,238,Yes,2
ColvaPearl Deluxe Luxury Villa and Apartments Wi-Fi,Colva,Entire villa,Three-Bedroom Villa,12598,6.7,7,Yes,2
The Beach comfort,Benaulim,Entire apartment,One-Bedroom Apartment,6700,9.6,5,Yes,2
Temple Garden,Canacona,Entire villa,Pyramid Garden Cottage AC Room with 2 pints of beer per stay,7000,7.3,46,No,2
Cola Goa Beach Resort,Cola,Entire villa,Villa - Beach Front,42500,8.3,0,Yes,2
The Four Corners-1BHK Palolem Garden Estate Near Palolem Beach,Canacona,Entire apartment,One-Bedroom Standard Apartment,5998,10.0,6,Yes,2
EKOSTAY Gold - CASA PORTO Villa,Anjuna,Entire villa,Villa with Private Pool,43560,10.0,2,Yes,2
Lembranca Studios & Suites Near Famous FLOATING CASINOS of Goa,Porvorim,Private suite,One-Bedroom Suite,7200,8.4,15,No,2
Wonderland Mandrem,Mandrem,Entire studio,Deluxe Studio,5994,10.0,10,No,2
Dona Rosa Holiday Apartment,Varca,Entire apartment,Apartment with Garden View,6900,9.4,33,Yes,2
Ondas Do Mar Beach Resort Phase-1,Calangute,Entire villa,Two-Bedroom Villa,12000,7.2,87,Yes,2
AquaVista,Calangute,Entire studio,Studio with Balcony,4000,7.5,8,Yes,2
"Seclude Falling Cashews, Chorao Island, North Goa",Chorao,Entire villa,Two-Bedroom Villa,17290,6.0,2,Yes,2
Candolim beach apartment goa,Candolim,Entire apartment,Two-Bedroom Apartment,6598,8.0,1,Yes,2
Beach villa South Goa,Arossim-Cansaulim,Entire villa,Villa,102000,8.3,0,Yes,2
Shraddha hospitality,Calangute,Entire apartment,Apartment with Balcony,8700,7.2,18,Yes,2
3BHK Villa with Private Pool Near Candolim,Marmagao,Entire villa,Three-Bedroom Villa,20898,7.5,21,Yes,2
New Common Home,Agonda,Entire studio,King Studio,11700,8.2,432,Yes,2
Riviera Sublime Holiday Homes,Siolim,Entire apartment,Deluxe Apartment,8998,7.5,4,No,2
Casa Quina,Panaji,Entire apartment,One-Bedroom Apartment,5700,9.7,83,Yes,2
WTF My House,Baga,Entire villa,Villa with Private Pool,52200,8.8,376,Yes,2
Nasya Beachside Cottages,Benaulim,Entire apartment,Deluxe Two-Bedroom Apartment with Garden View,15450,7.5,153,Yes,2
Service Appartment baga,Baga,Entire apartment,One-Bedroom Apartment,4500,9.0,1,Yes,2
Ekostay - OCEAN CREST VILLA I 50 meters from Anjuna Beach,Vagator,Entire villa,Three-Bedroom Villa,17820,7.0,13,Yes,2
"Thor Villa, 5BHK-Private Pool-Cook-Caretaker",Assagao,Entire villa,Villa,33797,9.5,12,No,2
Margaritas Residency,Benaulim,Entire studio,Standard Studio,3198,8.0,92,Yes,2
Amritara Aura Resort & Spa,Mandrem,Entire villa,01 Bedroom Villa - 10% off on SPA (Stay 2 nights & above,25119,8.1,237,No,2
StayVista at Villa Kinara The Luxury Collection,Verem,Entire villa,Villa,182023,8.3,0,Yes,2
Lairai's Happy Home,Candolim,Entire apartment,One-Bedroom Apartment,3600,9.3,4,Yes,2
Devasthali - The Valley of Gods,Bogmalo,Private suite,Executive Suite,11998,7.8,140,No,2
Aveeno Villas with Swimming Pool Near Calangute & Baga,Sangolda,Entire villa,Two-Bedroom Villa,11998,6.5,14,Yes,2
EKOSTAY - Gold -Casa Pino,Candolim,Entire villa,Villa with Private Pool,37620,10.0,1,Yes,2
Luxury 6 BHK Villa with Private Swimming Pool Near Calangute & Baga,Old Goa,Entire villa,Villa,23578,6.5,15,Yes,2
Beach Bliss Apartment Hotel - 7 Minutes walk to Beach,Colva,Entire apartment,Apartment with Pool View,8400,9.5,61,Yes,2
Candolim 2bhk apartment Goa,Aguada,Entire apartment,Two-Bedroom Apartment,6838,3.5,2,No,2
Morii by the sea - Morjim Beach,Morjim,Entire villa,Villa,34160,8.5,39,Yes,2
Agosto @Aansav Verde Fatrade Varca GOA 3 BR Villa,Varca,Entire villa,Three-Bedroom Villa,14400,8.6,32,Yes,2
Riviera Hermitage,Arpora,Entire apartment,Deluxe One-Bedroom Apartment,10800,8.4,38,Yes,2
2BHK Private house in Calangute,Candolim,Entire apartment,Two-Bedroom Apartment,9000,7.0,3,No,2
Sachi Guest House in Calangute,Calangute,Entire apartment,One-Bedroom Apartment,3000,8.3,0,Yes,2
EKOSTAY - Belvedere Apartment,Goa,Entire apartment,Two-Bedroom Apartment,8910,8.5,14,Yes,2
Manshi Guest House,Pernem,Entire apartment,One-Bedroom Apartment,3000,8.3,0,Yes,2
Travelerz Homes,Calangute,Entire studio,Studio,2000,4.2,24,Yes,2
Asian Golden Sands - S7 & S8,Benaulim,Entire apartment,One-Bedroom Apartment,5400,8.6,62,Yes,2
Ocean Walk Apartments 2BHK,Calangute,Entire studio,Studio with Balcony,3798,6.5,20,Yes,2
Casa Legend Villa & Apartments Arpora - Baga - Goa,Baga,Entire apartment,Studio Apartment with Pool View,7009,8.6,155,No,2
Pappa's Guest House,Arambol,Entire apartment,One-Bedroom Apartment,5998,9.2,99,Yes,2
StayVista at Casa PuMa with Pool & WiFi,Camorlim,Entire villa,Three-Bedroom Villa,30176,10.0,1,Yes,2
EKOSTAY - Assa Villa,Marna,Entire villa,Villa with Private Pool,43560,8.3,0,Yes,2
Rainforest - Casa Azure 5 Min walk to the beach,Calangute,Entire apartment,Studio Apartment,8998,8.6,100,Yes,2
Quadruple Comfort Calangute Goa,Calangute,Entire apartment,One-Bedroom Apartment,2666,3.7,14,Yes,2
Barcelona Villas at Love Story Siolim- 3BHK Private Pool Villas,Siolim,Entire villa,Villa with Private Pool,25200,8.6,19,Yes,2
"Benaulim Coastal Meadows, 1BHK, swimming pool, 2 min walking to beach",Benaulim,Entire apartment,Two-Bedroom Apartment,4860,9.6,9,No,2
The August Villas by HNH,Saligao,Entire villa,Three-Bedroom Villa,16000,5.2,8,Yes,2
EKOSTAY Luxe - Casa Marina,Candolim,Entire villa,6BHK with private PLUNGE POOL & NON Heated Jacuzzi,38610,8.0,8,Yes,2
Beachside luxury getaway,Cana,Entire apartment,One-Bedroom Apartment,4000,10.0,1,Yes,2
Lar Amorosa Boutique Hotel - Goa,Calangute,Entire apartment,Studio Apartment,6203,8.5,27,Yes,2
Siolim 6bhk Private Villa with Private Pool close to Anjuna Vagator,Siolim,Entire villa,Villa,30292,10.0,2,No,2
Luxury 2BHK Apartment in Candolim,Candolim,Entire apartment,Two-Bedroom Apartment with Balcony,13678,8.5,16,No,2
RN guest house,Arambol,Entire apartment,One-Bedroom Apartment,1600,10.0,1,Yes,2
CALUX Joia Do Mar Resort - Calangute,Calangute,Entire villa,Three-Bedroom Villa (6 Adults),26100,6.1,67,Yes,2
AlexMarie Holiday Homes Apartments 5 min to Candolim Beach,Candolim,Entire apartment,One-Bedroom Apartment with Terrace,3971,9.2,14,Yes,2
Clarion Hotel Ocean Palms Goa,Calangute,Entire villa,Sky Villa: INR 500 Food Credit per stay once at Terra,59500,8.0,40,Yes,2
"Sortby Stays, Vagator",Vagator,Entire studio,Studio with Balcony,7700,6.7,67,Yes,2
Premium Luxury -1BHK at Candolim Beach with Free Wifi and Pool,Candolim,Entire apartment,Apartment with Pool View,4802,8.8,13,Yes,2
Baga Apartments Goa,Calangute,Entire apartment,Two-Bedroom Apartment,4724,4.0,9,No,2
The Island Pool Villa,Vainguinim,Entire villa,Villa,54000,9.7,3,Yes,2
La Vaiencia luxury apartments - Siolim,Marna,Entire apartment,One-Bedroom Apartment,8909,8.3,0,No,2
Heritage Exotica - Studio Apartment with Bathtub 500 sqft,Arpora,Entire apartment,One-Bedroom Apartment,6398,10.0,1,Yes,2
Whiteboard Homes Siolim,Siolim,Entire studio,Studio,8000,9.4,11,No,2
"La Soria, Premium 2 BHK Villas in Assagao with Private Pool, Kitchen, Security, Small Garden",Assagao,Entire villa,La Soria 05|Patio|Garden|Balcony|Wifi,39583,9.3,3,Yes,2
Birdsnest Seaview Home,Dabolim,Entire apartment,Two-Bedroom Apartment,8500,8.9,66,Yes,2
Sea Horizon Resort,Mandrem,Entire villa,Three-Bedroom Villa,20000,10.0,3,Yes,2
Diva Gomes Guest House,Nuvem,Entire apartment,Two-Bedroom Apartment,10200,10.0,1,Yes,2
"Goa Chillout Apartment - 1BHK, Baga",Baga,Entire apartment,Apartment with Pool View,6118,7.9,26,No,2
Casa Arvana Near Calangute Beach,Calangute,Entire apartment,Apartment,10800,8.9,9,No,2
